data,hora,parque,area,nome,tempo_espera
2024-07-04,13:31:59,Magic Kingdom,Tomorrowland,Astro Orbiter,20
2024-07-04,13:31:59,Magic Kingdom,Fantasyland,The Barnstormer,10
2024-07-04,13:31:59,Magic Kingdom,Frontierland,Big Thunder Mountain Railroad,40
2024-07-04,13:31:59,Magic Kingdom,Tomorrowland,Buzz Lightyear's Space Ranger Spin,20
2024-07-04,13:31:59,Magic Kingdom,Fantasyland,Dumbo the Flying Elephant,5
2024-07-04,13:31:59,Magic Kingdom,Fantasyland,Enchanted Tales with Belle,25
2024-07-04,13:31:59,Magic Kingdom,Liberty Square,Haunted Mansion,35
2024-07-04,13:31:59,Magic Kingdom,Área não encontrada,"""it's a small world""",10
2024-07-04,13:31:59,Magic Kingdom,Adventureland,Jungle Cruise,55
2024-07-04,13:31:59,Magic Kingdom,Fantasyland,Mad Tea Party,10
2024-07-04,13:31:59,Magic Kingdom,Adventureland,The Magic Carpets of Aladdin,10
2024-07-04,13:31:59,Magic Kingdom,Fantasyland,The Many Adventures of Winnie the Pooh,30
2024-07-04,13:31:59,Magic Kingdom,Fantasyland,Meet Ariel at Her Grotto,25
2024-07-04,13:31:59,Magic Kingdom,Fantasyland,Meet Cinderella and a Visiting Princess at Princess Fairytale Hall,45
2024-07-04,13:31:59,Magic Kingdom,Fantasyland,Meet Daring Disney Pals as Circus Stars at Pete's Silly Side Show,20
2024-07-04,13:31:59,Magic Kingdom,Fantasyland,Meet Dashing Disney Pals as Circus Stars at Pete’s Silly Side Show,10
2024-07-04,13:31:59,Magic Kingdom,Main Street USA,Meet Mickey at Town Square Theater,10
2024-07-04,13:31:59,Magic Kingdom,Fantasyland,Meet Princess Tiana and a Visiting Princess at Princess Fairytale Hall,30
2024-07-04,13:31:59,Magic Kingdom,Fantasyland,Mickey's PhilharMagic,15
2024-07-04,13:31:59,Magic Kingdom,Tomorrowland,Monsters Inc. Laugh Floor,10
