data,hora,parque,area,nome,tempo_espera
2024-07-25,12:16:42,Disney's Animal Kingdom,Pandora - The World of Avatar,Avatar Flight of Passage,70
2024-07-25,12:16:42,Disney's Animal Kingdom,Dinoland USA,DINOSAUR,30
2024-07-25,12:16:42,Disney's Animal Kingdom,Asia,Expedition Everest,50
2024-07-25,12:16:42,Disney's Animal Kingdom,Discovery Island,It's Tough to be a Bug!,10
2024-07-25,12:16:42,Disney's Animal Kingdom,Asia,Kali River Rapids,40
2024-07-25,12:16:42,Disney's Animal Kingdom,Africa,Kilimanjaro Safaris,65
2024-07-25,12:16:42,Disney's Animal Kingdom,Discovery Island,Meet Favorite Disney Pals at Adventurers Outpost,30
2024-07-25,12:16:42,Disney's Animal Kingdom,Pandora - The World of Avatar,Na'vi River Journey,80
2024-07-25,12:16:42,Disney's Animal Kingdom,Dinoland USA,TriceraTop Spin,5
2024-07-25,12:21:20,Disney's Animal Kingdom,Pandora - The World of Avatar,Avatar Flight of Passage,70
2024-07-25,12:21:20,Disney's Animal Kingdom,Dinoland USA,DINOSAUR,40
2024-07-25,12:21:20,Disney's Animal Kingdom,Asia,Expedition Everest,50
2024-07-25,12:21:20,Disney's Animal Kingdom,Discovery Island,It's Tough to be a Bug!,10
2024-07-25,12:21:20,Disney's Animal Kingdom,Asia,Kali River Rapids,40
2024-07-25,12:21:20,Disney's Animal Kingdom,Africa,Kilimanjaro Safaris,65
2024-07-25,12:21:20,Disney's Animal Kingdom,Discovery Island,Meet Favorite Disney Pals at Adventurers Outpost,30
2024-07-25,12:21:20,Disney's Animal Kingdom,Pandora - The World of Avatar,Na'vi River Journey,85
2024-07-25,12:21:20,Disney's Animal Kingdom,Dinoland USA,TriceraTop Spin,5
2024-07-25,12:23:51,Disney's Animal Kingdom,Pandora - The World of Avatar,Avatar Flight of Passage,70
2024-07-25,12:23:51,Disney's Animal Kingdom,Dinoland USA,DINOSAUR,40
2024-07-25,12:23:51,Disney's Animal Kingdom,Asia,Expedition Everest,50
2024-07-25,12:23:51,Disney's Animal Kingdom,Discovery Island,It's Tough to be a Bug!,10
2024-07-25,12:23:51,Disney's Animal Kingdom,Asia,Kali River Rapids,40
2024-07-25,12:23:51,Disney's Animal Kingdom,Africa,Kilimanjaro Safaris,65
2024-07-25,12:23:51,Disney's Animal Kingdom,Discovery Island,Meet Favorite Disney Pals at Adventurers Outpost,30
2024-07-25,12:23:51,Disney's Animal Kingdom,Pandora - The World of Avatar,Na'vi River Journey,85
2024-07-25,12:23:51,Disney's Animal Kingdom,Dinoland USA,TriceraTop Spin,5
2024-07-25,12:24:23,Disney's Animal Kingdom,Pandora - The World of Avatar,Avatar Flight of Passage,70
2024-07-25,12:24:23,Disney's Animal Kingdom,Dinoland USA,DINOSAUR,40
2024-07-25,12:24:23,Disney's Animal Kingdom,Asia,Expedition Everest,50
2024-07-25,12:24:23,Disney's Animal Kingdom,Discovery Island,It's Tough to be a Bug!,10
2024-07-25,12:24:23,Disney's Animal Kingdom,Asia,Kali River Rapids,40
2024-07-25,12:24:23,Disney's Animal Kingdom,Africa,Kilimanjaro Safaris,65
2024-07-25,12:24:23,Disney's Animal Kingdom,Discovery Island,Meet Favorite Disney Pals at Adventurers Outpost,30
2024-07-25,12:24:23,Disney's Animal Kingdom,Pandora - The World of Avatar,Na'vi River Journey,85
2024-07-25,12:24:23,Disney's Animal Kingdom,Dinoland USA,TriceraTop Spin,5
2024-07-25,12:27:39,Disney's Animal Kingdom,Pandora - The World of Avatar,Avatar Flight of Passage,70
2024-07-25,12:27:39,Disney's Animal Kingdom,Dinoland USA,DINOSAUR,45
2024-07-25,12:27:39,Disney's Animal Kingdom,Asia,Expedition Everest,50
2024-07-25,12:27:39,Disney's Animal Kingdom,Discovery Island,It's Tough to be a Bug!,10
2024-07-25,12:27:39,Disney's Animal Kingdom,Asia,Kali River Rapids,35
2024-07-25,12:27:39,Disney's Animal Kingdom,Africa,Kilimanjaro Safaris,65
2024-07-25,12:27:39,Disney's Animal Kingdom,Discovery Island,Meet Favorite Disney Pals at Adventurers Outpost,20
2024-07-25,12:27:39,Disney's Animal Kingdom,Pandora - The World of Avatar,Na'vi River Journey,80
2024-07-25,12:27:39,Disney's Animal Kingdom,Dinoland USA,TriceraTop Spin,5
2024-07-25,12:28:19,Disney's Animal Kingdom,Pandora - The World of Avatar,Avatar Flight of Passage,70
2024-07-25,12:28:19,Disney's Animal Kingdom,Dinoland USA,DINOSAUR,45
2024-07-25,12:28:19,Disney's Animal Kingdom,Asia,Expedition Everest,50
2024-07-25,12:28:19,Disney's Animal Kingdom,Discovery Island,It's Tough to be a Bug!,10
2024-07-25,12:28:19,Disney's Animal Kingdom,Asia,Kali River Rapids,35
2024-07-25,12:28:19,Disney's Animal Kingdom,Africa,Kilimanjaro Safaris,65
2024-07-25,12:28:19,Disney's Animal Kingdom,Discovery Island,Meet Favorite Disney Pals at Adventurers Outpost,20
2024-07-25,12:28:19,Disney's Animal Kingdom,Pandora - The World of Avatar,Na'vi River Journey,80
2024-07-25,12:28:19,Disney's Animal Kingdom,Dinoland USA,TriceraTop Spin,5
2024-07-25,12:42:25,Disney's Animal Kingdom,Pandora - The World of Avatar,Avatar Flight of Passage,80
2024-07-25,12:42:25,Disney's Animal Kingdom,Dinoland USA,DINOSAUR,55
2024-07-25,12:42:25,Disney's Animal Kingdom,Asia,Expedition Everest,50
2024-07-25,12:42:25,Disney's Animal Kingdom,Discovery Island,It's Tough to be a Bug!,10
2024-07-25,12:42:25,Disney's Animal Kingdom,Asia,Kali River Rapids,30
2024-07-25,12:42:25,Disney's Animal Kingdom,Africa,Kilimanjaro Safaris,55
2024-07-25,12:42:25,Disney's Animal Kingdom,Discovery Island,Meet Favorite Disney Pals at Adventurers Outpost,35
2024-07-25,12:42:25,Disney's Animal Kingdom,Pandora - The World of Avatar,Na'vi River Journey,60
2024-07-25,12:42:25,Disney's Animal Kingdom,Dinoland USA,TriceraTop Spin,5
2024-07-25,12:52:45,Disney's Animal Kingdom,Pandora - The World of Avatar,Avatar Flight of Passage,105
2024-07-25,12:52:45,Disney's Animal Kingdom,Dinoland USA,DINOSAUR,65
2024-07-25,12:52:45,Disney's Animal Kingdom,Asia,Expedition Everest,50
2024-07-25,12:52:45,Disney's Animal Kingdom,Discovery Island,It's Tough to be a Bug!,10
2024-07-25,12:52:45,Disney's Animal Kingdom,Asia,Kali River Rapids,35
2024-07-25,12:52:45,Disney's Animal Kingdom,Africa,Kilimanjaro Safaris,25
2024-07-25,12:52:45,Disney's Animal Kingdom,Discovery Island,Meet Favorite Disney Pals at Adventurers Outpost,35
2024-07-25,12:52:45,Disney's Animal Kingdom,Pandora - The World of Avatar,Na'vi River Journey,75
2024-07-25,12:52:45,Disney's Animal Kingdom,Dinoland USA,TriceraTop Spin,5
2024-07-25,12:54:19,Disney's Animal Kingdom,Pandora - The World of Avatar,Avatar Flight of Passage,105
2024-07-25,12:54:19,Disney's Animal Kingdom,Dinoland USA,DINOSAUR,65
2024-07-25,12:54:19,Disney's Animal Kingdom,Asia,Expedition Everest,50
2024-07-25,12:54:19,Disney's Animal Kingdom,Discovery Island,It's Tough to be a Bug!,10
2024-07-25,12:54:19,Disney's Animal Kingdom,Asia,Kali River Rapids,35
2024-07-25,12:54:19,Disney's Animal Kingdom,Africa,Kilimanjaro Safaris,25
2024-07-25,12:54:19,Disney's Animal Kingdom,Discovery Island,Meet Favorite Disney Pals at Adventurers Outpost,35
2024-07-25,12:54:19,Disney's Animal Kingdom,Pandora - The World of Avatar,Na'vi River Journey,75
2024-07-25,12:54:19,Disney's Animal Kingdom,Dinoland USA,TriceraTop Spin,5
2024-07-25,12:59:32,Disney's Animal Kingdom,Pandora - The World of Avatar,Avatar Flight of Passage,105
2024-07-25,12:59:32,Disney's Animal Kingdom,Dinoland USA,DINOSAUR,65
2024-07-25,12:59:32,Disney's Animal Kingdom,Asia,Expedition Everest,40
2024-07-25,12:59:32,Disney's Animal Kingdom,Discovery Island,It's Tough to be a Bug!,10
2024-07-25,12:59:32,Disney's Animal Kingdom,Asia,Kali River Rapids,35
2024-07-25,12:59:32,Disney's Animal Kingdom,Africa,Kilimanjaro Safaris,30
2024-07-25,12:59:32,Disney's Animal Kingdom,Discovery Island,Meet Favorite Disney Pals at Adventurers Outpost,35
2024-07-25,12:59:32,Disney's Animal Kingdom,Pandora - The World of Avatar,Na'vi River Journey,80
2024-07-25,12:59:32,Disney's Animal Kingdom,Dinoland USA,TriceraTop Spin,5
2024-07-25,13:04:45,Disney's Animal Kingdom,Pandora - The World of Avatar,Avatar Flight of Passage,105
2024-07-25,13:04:45,Disney's Animal Kingdom,Dinoland USA,DINOSAUR,55
2024-07-25,13:04:45,Disney's Animal Kingdom,Asia,Expedition Everest,40
2024-07-25,13:04:45,Disney's Animal Kingdom,Discovery Island,It's Tough to be a Bug!,15
2024-07-25,13:04:45,Disney's Animal Kingdom,Asia,Kali River Rapids,50
2024-07-25,13:04:45,Disney's Animal Kingdom,Africa,Kilimanjaro Safaris,25
2024-07-25,13:04:45,Disney's Animal Kingdom,Discovery Island,Meet Favorite Disney Pals at Adventurers Outpost,35
2024-07-25,13:04:45,Disney's Animal Kingdom,Pandora - The World of Avatar,Na'vi River Journey,80
2024-07-25,13:04:45,Disney's Animal Kingdom,Dinoland USA,TriceraTop Spin,5
2024-07-25,13:09:58,Disney's Animal Kingdom,Pandora - The World of Avatar,Avatar Flight of Passage,105
2024-07-25,13:09:58,Disney's Animal Kingdom,Dinoland USA,DINOSAUR,50
2024-07-25,13:09:58,Disney's Animal Kingdom,Asia,Expedition Everest,40
2024-07-25,13:09:58,Disney's Animal Kingdom,Discovery Island,It's Tough to be a Bug!,15
2024-07-25,13:09:58,Disney's Animal Kingdom,Asia,Kali River Rapids,50
2024-07-25,13:09:58,Disney's Animal Kingdom,Africa,Kilimanjaro Safaris,25
2024-07-25,13:09:58,Disney's Animal Kingdom,Discovery Island,Meet Favorite Disney Pals at Adventurers Outpost,35
2024-07-25,13:09:58,Disney's Animal Kingdom,Pandora - The World of Avatar,Na'vi River Journey,80
2024-07-25,13:09:58,Disney's Animal Kingdom,Dinoland USA,TriceraTop Spin,5
